Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
EXOSC1		1	1	15	6.7%	No
CCDC93		2	2	15	13.3%	No
PTPRB		1	1	15	6.7%	Yes
EFHB		2	2	15	13.3%	No
GOT1L1		1	1	15	6.7%	No
C17ORF107		1	1	15	6.7%	No
FOXC1		1	1	15	6.7%	No
HLX		1	1	15	6.7%	No
HLCS		1	1	15	6.7%	No
ASXL3		2	2	15	13.3%	No
RFLNB		1	1	15	6.7%	No
TICAM1		1	1	15	6.7%	No
ENAM		1	1	15	6.7%	No
TDRD10		1	1	15	6.7%	No
ATP6V0A1		1	1	15	6.7%	No
PKLR		1	1	15	6.7%	No
ATP7A		1	1	15	6.7%	No
EXOC6		1	1	15	6.7%	No
NRP2		3	2	15	13.3%	No
CCDC102B		1	1	15	6.7%	No
FEM1B		1	1	15	6.7%	No
SOX5		1	1	15	6.7%	No
SOX11		1	1	15	6.7%	No
C8ORF89		1	1	15	6.7%	No
CAMKMT		1	1	15	6.7%	No
XK		1	1	15	6.7%	No
OTUD6A		1	1	15	6.7%	No
PTPDC1		1	1	15	6.7%	No
COTL1		1	1	15	6.7%	No
SP100		1	1	15	6.7%	No
VSIG8		1	1	15	6.7%	No
TOP1MT		1	1	15	6.7%	No
TDRD6		1	1	15	6.7%	No
ATP13A2		2	1	15	6.7%	No
NECAB2		1	1	15	6.7%	No
GIMAP6		1	1	15	6.7%	No
SPATA6		1	1	15	6.7%	No
PLEC		2	2	15	13.3%	No
TSC22D1		2	2	15	13.3%	No
ZNF804B		1	1	15	6.7%	No
BCORL1		1	1	15	6.7%	Yes
ZFPM2		2	2	15	13.3%	No
RNF222		1	1	15	6.7%	No
ANO6		1	1	15	6.7%	No
ARID2		1	1	15	6.7%	Yes
FCGBP		1	1	15	6.7%	No
DHX34		1	1	15	6.7%	No
POMT1		1	1	15	6.7%	No
KRTAP4-5		1	1	15	6.7%	No
PCDHGA8		1	1	15	6.7%	No
YY1		2	1	15	6.7%	Yes
PLXNA2		1	1	15	6.7%	No
ZFX		1	1	15	6.7%	No
SPOCK1		1	1	15	6.7%	No
LRP1		2	1	15	6.7%	No
ZIC1		1	1	15	6.7%	No
EML5		1	1	15	6.7%	No
DOCK8		1	1	15	6.7%	No
USP36		2	2	15	13.3%	No
YARS2		1	1	15	6.7%	No
ZNF331		1	1	15	6.7%	Yes
SF1		1	1	15	6.7%	No
FUT11		1	1	15	6.7%	No
AGPAT2		1	1	15	6.7%	No
DCAF1		1	1	15	6.7%	No
ZNF7		1	1	15	6.7%	No
NOP9		1	1	15	6.7%	No
HOXA2		1	1	15	6.7%	No
HOXA1		1	1	15	6.7%	No
TLX1		1	1	15	6.7%	Yes
RIPK4		2	1	15	6.7%	No
TMX2		1	1	15	6.7%	No
ZNF669		1	1	15	6.7%	No
ADARB2		1	1	15	6.7%	No
SHROOM3		3	3	15	20.0%	No
SLC19A2		1	1	15	6.7%	No
FAM170B		1	1	15	6.7%	No
ARFGEF2		1	1	15	6.7%	No
VPS18		1	1	15	6.7%	No
ZNF14		1	1	15	6.7%	No
DCAF8L2		1	1	15	6.7%	No
TASOR2		2	2	15	13.3%	No
MTMR3		1	1	15	6.7%	No
ZNF536		1	1	15	6.7%	No
ANKRD65		1	1	15	6.7%	No
LTF		1	1	15	6.7%	No
ARHGAP32		2	2	15	13.3%	No
RALGAPA2		1	1	15	6.7%	No
THOC2		1	1	15	6.7%	No
ADAMTSL3		2	2	15	13.3%	No
BCHE		1	1	15	6.7%	No
ADCY5		1	1	15	6.7%	No
ADCY8		1	1	15	6.7%	No
PKN3		1	1	15	6.7%	No
ZNF385B		3	3	15	20.0%	No
ADD1		1	1	15	6.7%	No
GPRASP1		1	1	15	6.7%	No
OR51E1		2	2	15	13.3%	No
HSCB		2	2	15	13.3%	No
PMS2		1	1	15	6.7%	Yes
RTKN		1	1	15	6.7%	No
VN1R1		1	1	15	6.7%	No
ZSCAN12		1	1	15	6.7%	No
ABHD4		1	1	15	6.7%	No
ATP8B2		1	1	15	6.7%	No
MCOLN1		1	1	15	6.7%	No
ADD3		1	1	15	6.7%	No
UNKL		1	1	15	6.7%	No
PLIN2		1	1	15	6.7%	No
C2ORF74		1	1	15	6.7%	No
PDZRN4		1	1	15	6.7%	No
SLK		1	1	15	6.7%	No
ACTL6B		1	1	15	6.7%	No
PRPF4B		1	1	15	6.7%	No
DUS2		1	1	15	6.7%	No
ZSCAN32		1	1	15	6.7%	No
RTN1		1	1	15	6.7%	No
ZNF33B		1	1	15	6.7%	No
MUC12		2	1	15	6.7%	No
TLR5		1	1	15	6.7%	No
ABCA13		1	1	15	6.7%	No
CRYBG3		1	1	15	6.7%	No
HUWE1		1	1	15	6.7%	No
ZFYVE16		1	1	15	6.7%	No
MED13L		1	1	15	6.7%	No
SMG5		1	1	15	6.7%	No
HAUS4		1	1	15	6.7%	No
SPECC1L		1	1	15	6.7%	No
AMOTL2		3	3	15	20.0%	No
KANSL2		1	1	15	6.7%	No
EME2		1	1	15	6.7%	No
KMT2B		4	3	15	20.0%	Yes
FRMPD4		1	1	15	6.7%	No
GFM2		1	1	15	6.7%	No
RYR2		1	1	15	6.7%	No
SMAD2		1	1	15	6.7%	Yes
EVC2		1	1	15	6.7%	No
RYR1		1	1	15	6.7%	No
RAB40A		1	1	15	6.7%	No
ECPAS		1	1	15	6.7%	No
TSPAN4		1	1	15	6.7%	No
DPYD		1	1	15	6.7%	No
SCARA3		1	1	15	6.7%	No
MBD3		1	1	15	6.7%	No
EPPK1		2	2	15	13.3%	No
LANCL3		1	1	15	6.7%	No
ATRN		1	1	15	6.7%	No
AP1M2		1	1	15	6.7%	No
DLGAP5		1	1	15	6.7%	No
OPLAH		1	1	15	6.7%	No
SMAD5		1	1	15	6.7%	No
ADRA2A		1	1	15	6.7%	No
RNF144A		2	2	15	13.3%	No
PUM2		1	1	15	6.7%	No
SLC26A3		1	1	15	6.7%	No
OBSL1		1	1	15	6.7%	No
VGLL1		2	2	15	13.3%	No
DCP1A		1	1	15	6.7%	No
ODR4		1	1	15	6.7%	No
DRD4		1	1	15	6.7%	No
HR		1	1	15	6.7%	No
ACSF3		1	1	15	6.7%	No
TNFRSF1A		1	1	15	6.7%	No
KCNB2		1	1	15	6.7%	No
TEX38		1	1	15	6.7%	No
FMN1		2	2	15	13.3%	No
GARIN3		1	1	15	6.7%	No
ICE1		1	1	15	6.7%	No
AP1B1		1	1	15	6.7%	No
S100A9		1	1	15	6.7%	No
AP2B1		1	1	15	6.7%	No
ATN1		1	1	15	6.7%	No
ARHGEF18		1	1	15	6.7%	No
CRTC1		2	2	15	13.3%	Yes
LRRK2		1	1	15	6.7%	Yes
SCAMP2		1	1	15	6.7%	No
WDR90		1	1	15	6.7%	Yes
TRIP10		2	2	15	13.3%	No
SAG		1	1	15	6.7%	No
TNS1		1	1	15	6.7%	No
ZNHIT3		1	1	15	6.7%	No
SYNE1		5	5	15	33.3%	No
IRS4		1	1	15	6.7%	Yes
DOCK9		1	1	15	6.7%	No
AGL		1	1	15	6.7%	No
MUC17		2	2	15	13.3%	No
TMEM132A		2	2	15	13.3%	No
H2AC12		1	1	15	6.7%	No
DTNA		2	2	15	13.3%	No
DSPP		1	1	15	6.7%	No
TP53BP1		2	2	15	13.3%	Yes
TP53		6	5	15	33.3%	Yes
OR10X1		1	1	15	6.7%	No
VPS8		1	1	15	6.7%	No
AGT		1	1	15	6.7%	No
CLN6		1	1	15	6.7%	No
HSD17B7		1	1	15	6.7%	No
ACSM5		1	1	15	6.7%	No
SH2D3A		2	2	15	13.3%	No
RBM47		1	1	15	6.7%	No
UBAP2		1	1	15	6.7%	No
HOOK3		2	2	15	13.3%	Yes
PPFIA4		1	1	15	6.7%	No
MMRN1		1	1	15	6.7%	No
HFM1		1	1	15	6.7%	No
PRRC2B		1	1	15	6.7%	No
GPR75		1	1	15	6.7%	No
RNF20		2	2	15	13.3%	No
HMCN1		1	1	15	6.7%	No
ZNF451		3	1	15	6.7%	No
BCO2		1	1	15	6.7%	No
LIPK		1	1	15	6.7%	No
DVL2		1	1	15	6.7%	No
UBE4A		1	1	15	6.7%	No
MAPRE3		1	1	15	6.7%	No
CALML5		1	1	15	6.7%	No
CUBN		1	1	15	6.7%	No
ITGBL1		1	1	15	6.7%	No
PDZD4		1	1	15	6.7%	No
TXNL1		1	1	15	6.7%	No
C8ORF44		1	1	15	6.7%	No
IRGC		1	1	15	6.7%	No
CNTNAP2		2	2	15	13.3%	No
LTN1		1	1	15	6.7%	No
CD93		1	1	15	6.7%	No
SHOC2		1	1	15	6.7%	Yes
TRAF5		2	2	15	13.3%	Yes
RPAP1		1	1	15	6.7%	No
RHBG		1	1	15	6.7%	No
TENM4		1	1	15	6.7%	No
MAGED2		1	1	15	6.7%	No
SPATA16		2	2	15	13.3%	No
NRXN1		1	1	15	6.7%	No
ARSG		2	2	15	13.3%	No
RASSF7		1	1	15	6.7%	No
BTBD3		1	1	15	6.7%	No
KCNT2		1	1	15	6.7%	No
HRCT1		1	1	15	6.7%	No
FAM174B		1	1	15	6.7%	No
TTLL2		1	1	15	6.7%	No
NTRK3		1	1	15	6.7%	Yes
KRTAP4-11		1	1	15	6.7%	No
WDR87		2	2	15	13.3%	No
GLDC		1	1	15	6.7%	No
DUOX2		1	1	15	6.7%	No
KLHDC7B		1	1	15	6.7%	No
OBP2B		1	1	15	6.7%	No
TNRC6A		1	1	15	6.7%	No
CCDC149		1	1	15	6.7%	No
PRR22		1	1	15	6.7%	No
RNPEPL1		1	1	15	6.7%	No
GLRX		1	1	15	6.7%	No
DONSON		1	1	15	6.7%	No
SRPRB		1	1	15	6.7%	No
CAPN8		1	1	15	6.7%	No
GLP1R		1	1	15	6.7%	No
CRACR2A		1	1	15	6.7%	No
STOML1		1	1	15	6.7%	No
NMT2		1	1	15	6.7%	No
SLC44A2		1	1	15	6.7%	No
NALCN		1	1	15	6.7%	No
RPS6KA6		2	2	15	13.3%	No
WFIKKN2		1	1	15	6.7%	No
DIPK1C		1	1	15	6.7%	No
PILRB		2	2	15	13.3%	No
RNF167		2	1	15	6.7%	No
PRDM12		1	1	15	6.7%	No
ZNF638		1	1	15	6.7%	No
OTOGL		1	1	15	6.7%	No
CRYZ		1	1	15	6.7%	No
ALOXE3		1	1	15	6.7%	No
SENP2		1	1	15	6.7%	No
IMPDH2		3	2	15	13.3%	No
ZNF544		1	1	15	6.7%	No
SALL4		1	1	15	6.7%	Yes
ARL6IP6		1	1	15	6.7%	No
PTPN18		1	1	15	6.7%	No
FXR1		1	1	15	6.7%	No
INHBA		2	2	15	13.3%	Yes
GNAL		1	1	15	6.7%	No
OCRL		1	1	15	6.7%	No
PTPRR		1	1	15	6.7%	No
PLEKHH2		2	1	15	6.7%	No
NSD3		1	1	15	6.7%	Yes
ODF1		5	5	15	33.3%	No
